,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
21,2025-12-14T12:47:59-03:00,2025-12-14T15:47:59.000Z,TREND,SHORT,0.0153069034134394,130.66,130.72,-0.0009184142048064,-0.000009184142048064025,0.0027884168896018,-0.3293676093525435,DELTA_FLIP_LONG
23,2025-12-14T12:48:59-03:00,2025-12-14T15:48:59.000Z,TREND,LONG,0.0152998776009791,130.72,130.56,-0.0024479804161566,-0.000024479804161566185,0.0027028048830324,-0.9057185117299696,DELTA_FLIP_SHORT
25,2025-12-14T12:49:59-03:00,2025-12-14T15:49:59.000Z,TREND,SHORT,0.0153186274509803,130.56,130.61,-0.0007659313725491,-0.000007659313725491937,0.0028082537344788,-0.27274293741525235,DELTA_FLIP_LONG
27,2025-12-14T12:50:59-03:00,2025-12-14T15:50:59.000Z,TREND,LONG,0.0153127631881172,130.61,130.62,0.000153127631881,0.0000015312763188103366,0.0027379181743119,0.05592849096722344,DELTA_FLIP_SHORT
29,2025-12-14T12:51:59-03:00,2025-12-14T15:51:59.000Z,TREND,SHORT,0.0153115908742918,130.62,130.76,-0.0021436227224006,-0.000021436227224006483,0.0026734001606126,-0.8018338421545529,DELTA_FLIP_LONG
31,2025-12-14T12:52:59-03:00,2025-12-14T15:52:59.000Z,TREND,LONG,0.0152951973080452,130.76,130.67,-0.0013765677577241,-0.00001376567757724127,0.0027092131040129,-0.5081061197013704,DELTA_FLIP_SHORT
33,2025-12-14T12:53:59-03:00,2025-12-14T15:53:59.000Z,TREND,SHORT,0.0153057319966327,130.67,130.69,-0.0003061146399328,-0.000003061146399328114,0.0026978195734344,-0.11346742493350194,DELTA_FLIP_LONG
35,2025-12-14T12:54:59-03:00,2025-12-14T15:54:59.000Z,TREND,LONG,0.0153033897008187,130.69,130.65,-0.0006121355880326,-0.000006121355880326274,0.0026031137411263,-0.2351551445338477,DELTA_FLIP_SHORT
37,2025-12-14T12:55:59-03:00,2025-12-14T15:55:59.000Z,TREND,SHORT,0.0153080750095675,130.65,130.63,0.0003061615001915,0.0000030616150019150752,0.0025163261455146,0.12167003897218918,DELTA_FLIP_LONG
39,2025-12-14T12:56:59-03:00,2025-12-14T15:56:59.000Z,TREND,LONG,0.0153104187399525,130.63,130.62,-0.0001531041873993,-0.0000015310418739938612,0.0024025623854997,-0.06372537434338316,DELTA_FLIP_SHORT
41,2025-12-14T12:57:59-03:00,2025-12-14T15:57:59.000Z,TREND,SHORT,0.0153115908742918,130.62,130.68,-0.0009186954524575,-0.000009186954524575452,0.0023623637910578,-0.3888882211685669,DELTA_FLIP_LONG
43,2025-12-14T12:58:59-03:00,2025-12-14T15:58:59.000Z,TREND,LONG,0.0153045607591062,130.68,130.62,-0.0009182736455464,-0.000009182736455464076,0.0024057870146505,-0.38169365781525844,DELTA_FLIP_SHORT
45,2025-12-14T12:59:59-03:00,2025-12-14T15:59:59.000Z,TREND,SHORT,0.0153115908742918,130.62,130.6,0.0003062318174859,0.000003062318174859934,0.0023498081741852,0.13032204962521524,DELTA_FLIP_LONG
47,2025-12-14T13:00:59-03:00,2025-12-14T16:00:59.000Z,TREND,LONG,0.0153139356814701,130.6,130.47,-0.001990811638591,-0.000019908116385910485,0.0022807456072286,-0.8728775503420096,DELTA_FLIP_SHORT
49,2025-12-14T13:01:59-03:00,2025-12-14T16:01:59.000Z,TREND,SHORT,0.0153291944508316,130.47,130.52,-0.0007664597225417,-0.000007664597225417547,0.0023498833294752,-0.32616926675796865,DELTA_FLIP_LONG
51,2025-12-14T13:02:59-03:00,2025-12-14T16:02:59.000Z,TREND,LONG,0.0153233220962304,130.52,130.6,0.0012258657676981,0.00001225865767698193,0.0023617949159166,0.5190398876027507,DELTA_FLIP_SHORT
53,2025-12-14T13:03:59-03:00,2025-12-14T16:03:59.000Z,TREND,SHORT,0.0153139356814701,130.6,130.62,-0.0003062787136295,-0.0000030627871362955947,0.0023722375527951,-0.1291096303861414,DELTA_FLIP_LONG
55,2025-12-14T13:04:59-03:00,2025-12-14T16:04:59.000Z,TREND,LONG,0.0153115908742918,130.62,130.67,0.0007655795437143,0.000007655795437143308,0.0023172916623663,0.3303768602578621,DELTA_FLIP_SHORT
57,2025-12-14T13:05:59-03:00,2025-12-14T16:05:59.000Z,TREND,SHORT,0.0153057319966327,130.67,130.7,-0.0004591719598989,-0.000004591719598989996,0.0023641344500307,-0.19422413132761432,DELTA_FLIP_LONG
59,2025-12-14T13:06:59-03:00,2025-12-14T16:06:59.000Z,TREND,LONG,0.0153022188217291,130.7,130.65,-0.0007651109410861,-0.000007651109410861967,0.002358716161117,-0.32437601170450797,DELTA_FLIP_SHORT
61,2025-12-14T13:07:59-03:00,2025-12-14T16:07:59.000Z,TREND,SHORT,0.0153080750095675,130.65,130.52,0.0019900497512437,0.00001990049751243711,0.0023714912412409,0.8391554295610183,DELTA_FLIP_LONG
63,2025-12-14T13:08:59-03:00,2025-12-14T16:08:59.000Z,TREND,LONG,0.0153233220962304,130.52,130.58,0.0009193993257738,0.000009193993257738624,0.0024669778570804,0.3726824394207914,DELTA_FLIP_SHORT
65,2025-12-14T13:09:59-03:00,2025-12-14T16:09:59.000Z,TREND,SHORT,0.0153162812069229,130.58,130.53,0.0007658140603463,0.000007658140603463219,0.0024045846819573,0.31848080298130216,DELTA_FLIP_LONG
67,2025-12-14T13:10:59-03:00,2025-12-14T16:10:59.000Z,TREND,LONG,0.0153221481651727,130.53,130.61,0.001225771853214,0.000012257718532140122,0.0023978497997229,0.5111962614821214,DELTA_FLIP_SHORT
69,2025-12-14T13:11:59-03:00,2025-12-14T16:11:59.000Z,TREND,SHORT,0.0153127631881172,130.61,130.63,-0.000306255263762,-0.0000030625526376206733,0.0023892763333873,-0.12817908899127584,DELTA_FLIP_LONG
71,2025-12-14T13:12:59-03:00,2025-12-14T16:12:59.000Z,TREND,LONG,0.0153104187399525,130.63,130.66,0.0004593125621985,0.000004593125621985935,0.0024315263201125,0.18889886504590617,DELTA_FLIP_SHORT
73,2025-12-14T13:13:59-03:00,2025-12-14T16:13:59.000Z,TREND,SHORT,0.0153069034134394,130.66,130.69,-0.0004592071024032,-0.000004592071024032012,0.0023393287275326,-0.1962986633723544,DELTA_FLIP_LONG
75,2025-12-14T13:14:59-03:00,2025-12-14T16:14:59.000Z,TREND,LONG,0.0153033897008187,130.69,130.72,0.0004591016910245,0.000004591016910245794,0.0023029070920349,0.19935745241846797,DELTA_FLIP_SHORT
77,2025-12-14T13:15:59-03:00,2025-12-14T16:15:59.000Z,TREND,SHORT,0.0152998776009791,130.72,130.72,-0,-0,0.0022034938702976,-0,DELTA_FLIP_LONG
79,2025-12-14T13:16:59-03:00,2025-12-14T16:16:59.000Z,TREND,LONG,0.0152998776009791,130.72,130.78,0.0009179926560587,0.000009179926560587864,0.0021608505329979,0.42482931699357485,DELTA_FLIP_SHORT
81,2025-12-14T13:17:59-03:00,2025-12-14T16:17:59.000Z,TREND,SHORT,0.0152928582352041,130.78,130.84,-0.0009175714941122,-0.000009175714941122843,0.0021694355634082,-0.422954020662724,DELTA_FLIP_LONG
83,2025-12-14T13:18:59-03:00,2025-12-14T16:18:59.000Z,TREND,LONG,0.0152858453072454,130.84,130.87,0.0004585753592173,0.000004585753592173821,0.0021445736225125,0.21383055093256753,DELTA_FLIP_SHORT
85,2025-12-14T13:19:59-03:00,2025-12-14T16:19:59.000Z,TREND,SHORT,0.0152823412546802,130.87,130.93,-0.0009169404752808,-0.000009169404752808475,0.0020728029811499,-0.4423674047265803,DELTA_FLIP_LONG
87,2025-12-14T13:20:59-03:00,2025-12-14T16:20:59.000Z,TREND,LONG,0.0152753379668525,130.93,131.12,0.0029023142137019,0.000029023142137019432,0.0021693600941947,1.3378665079479501,DELTA_FLIP_SHORT
89,2025-12-14T13:21:59-03:00,2025-12-14T16:21:59.000Z,TREND,SHORT,0.0152532031726662,131.12,131.31,-0.0028981086028065,-0.000028981086028065547,0.0024363974781702,-1.1895056651359932,TRAIL_SL_SHORT
