timestamp,open,high,low,close,volume
1604188800000,1.5497,1.5505,1.5423,1.5425,6115.07
1604188860000,1.5424,1.5467,1.5424,1.5435,1596.96
1604188920000,1.5434,1.5465,1.5434,1.5465,1124.49
1604188980000,1.5484,1.5484,1.547,1.547,2064.05
1604189040000,1.5511,1.5612,1.5511,1.5612,10659.0
1604189100000,1.5628,1.565,1.5598,1.565,2161.83
1604189160000,1.565,1.5676,1.5614,1.5668,12220.54
1604189220000,1.5668,1.5693,1.5668,1.5671,902.25
1604189280000,1.5696,1.57,1.5696,1.5698,4377.71
1604189340000,1.5699,1.57,1.5661,1.568,1973.93
1604189400000,1.5668,1.5699,1.5658,1.5699,3338.21
1604189460000,1.5676,1.5676,1.5666,1.5666,798.12
1604189520000,1.567,1.567,1.5639,1.5639,3960.38
1604189580000,1.5681,1.5684,1.5681,1.5684,637.64
1604189640000,1.5677,1.5677,1.567,1.567,207.0
1604189700000,1.567,1.567,1.5647,1.5647,581.18
1604189760000,1.5641,1.5642,1.5637,1.5637,1578.38
1604189820000,1.5658,1.5663,1.5658,1.5663,400.0
1604189880000,1.5638,1.5656,1.5613,1.5654,1399.17
1604189940000,1.5656,1.5656,1.5656,1.5656,2700.67
1604190000000,1.5653,1.5732,1.5653,1.5732,12062.78
1604190060000,1.5733,1.5795,1.5721,1.5795,3437.04
1604190120000,1.5781,1.579,1.5781,1.579,1979.8
1604190180000,1.5787,1.5797,1.5787,1.5788,1354.6
1604190240000,1.5788,1.5789,1.5774,1.5788,177.28
1604190300000,1.5778,1.5779,1.5778,1.5779,970.55
1604190360000,1.5779,1.5788,1.5779,1.5788,417.34
1604190420000,1.5788,1.5789,1.5771,1.5788,1028.75
1604190480000,1.5788,1.5789,1.5777,1.5789,3714.4
1604190540000,1.5789,1.5789,1.5771,1.5771,374.87
1604190600000,1.5771,1.5771,1.5771,1.5771,0.0
1604190660000,1.5771,1.5771,1.5771,1.5771,0.0
1604190720000,1.577,1.5783,1.5739,1.5739,2184.75
1604190780000,1.5759,1.5773,1.5733,1.576,1067.25
1604190840000,1.5724,1.5776,1.5724,1.5776,598.75
1604190900000,1.5735,1.5757,1.5708,1.5708,829.8
1604190960000,1.5744,1.5745,1.5652,1.5652,5474.61
1604191020000,1.5707,1.5708,1.5626,1.5626,3804.75
1604191080000,1.5626,1.5626,1.5566,1.5566,3932.72
1604191140000,1.5577,1.559,1.5547,1.5547,811.89
1604191200000,1.5588,1.5589,1.5516,1.5516,855.99
1604191260000,1.5505,1.5505,1.5505,1.5505,131.24
1604191320000,1.5505,1.5505,1.5505,1.5505,0.0
1604191380000,1.55,1.55,1.55,1.55,142.14
1604191440000,1.55,1.55,1.55,1.55,237.45
1604191500000,1.5493,1.5493,1.5493,1.5493,102.19
1604191560000,1.5506,1.5506,1.5506,1.5506,46.95
1604191620000,1.5506,1.5506,1.5506,1.5506,0.0
1604191680000,1.5506,1.5561,1.5505,1.5552,2862.14
1604191740000,1.5552,1.5552,1.5552,1.5552,0.0
1604191800000,1.558,1.5581,1.5555,1.5555,742.44
1604191860000,1.5581,1.5598,1.5581,1.5598,643.0
1604191920000,1.5598,1.5598,1.5598,1.5598,0.0
1604191980000,1.5619,1.5619,1.5616,1.5616,39.58
1604192040000,1.558,1.558,1.5552,1.5552,1487.06
1604192100000,1.5552,1.5552,1.5524,1.5526,2179.68
1604192160000,1.5526,1.5526,1.5526,1.5526,0.0
1604192220000,1.5553,1.5568,1.552,1.5521,4854.04
1604192280000,1.5521,1.5521,1.5521,1.5521,0.0
1604192340000,1.5538,1.5548,1.5538,1.5548,72.53
1604192400000,1.5543,1.5549,1.5506,1.5506,455.61
1604192460000,1.5539,1.5545,1.5539,1.5543,238.0
1604192520000,1.5532,1.5538,1.5532,1.5538,96.54
1604192580000,1.5538,1.5543,1.5538,1.5543,498.6
1604192640000,1.5543,1.5543,1.5543,1.5543,253.42
1604192700000,1.5543,1.555,1.5543,1.555,80.0
1604192760000,1.5554,1.5554,1.5554,1.5554,12.85
1604192820000,1.5577,1.5586,1.5577,1.5586,671.43
1604192880000,1.5565,1.559,1.5565,1.559,688.84
1604192940000,1.559,1.559,1.559,1.559,0.0
1604193000000,1.559,1.559,1.559,1.559,0.0
1604193060000,1.559,1.559,1.559,1.559,0.0
1604193120000,1.559,1.559,1.559,1.559,0.0
1604193180000,1.559,1.559,1.559,1.559,0.0
1604193240000,1.559,1.559,1.559,1.559,0.0
1604193300000,1.559,1.559,1.559,1.559,0.0
1604193360000,1.559,1.559,1.559,1.559,0.0
1604193420000,1.563,1.563,1.563,1.563,10.0
1604193480000,1.563,1.563,1.563,1.563,0.0
1604193540000,1.563,1.563,1.563,1.563,0.0
1604193600000,1.5632,1.5633,1.5631,1.5632,344.6
1604193660000,1.5647,1.5647,1.5647,1.5647,10.0
1604193720000,1.5699,1.57,1.5684,1.57,520.62
1604193780000,1.57,1.573,1.57,1.573,2481.64
1604193840000,1.5715,1.5715,1.5675,1.5676,2065.98
1604193900000,1.5694,1.5695,1.5669,1.5669,155.46
1604193960000,1.5666,1.5673,1.5637,1.5637,1233.26
1604194020000,1.5636,1.5636,1.5628,1.5628,1405.61
1604194080000,1.5639,1.5639,1.5639,1.5639,541.28
1604194140000,1.5628,1.563,1.5628,1.563,110.01
1604194200000,1.5658,1.5659,1.5658,1.5659,75.67
1604194260000,1.5659,1.5659,1.5659,1.5659,0.0
1604194320000,1.5659,1.5659,1.5659,1.5659,0.0
1604194380000,1.5659,1.5659,1.5659,1.5659,0.0
1604194440000,1.563,1.563,1.5626,1.5626,126.52
1604194500000,1.5626,1.5656,1.5597,1.5604,6606.61
1604194560000,1.5604,1.5604,1.5604,1.5604,0.0
1604194620000,1.5604,1.5604,1.5604,1.5604,0.0
1604194680000,1.5604,1.5604,1.5604,1.5604,0.0
1604194740000,1.5629,1.5629,1.5629,1.5629,24.88
1604194800000,1.5604,1.5604,1.5604,1.5604,11.51
1604194860000,1.5604,1.5604,1.5604,1.5604,35.4
1604194920000,1.5604,1.5617,1.5604,1.5617,100.0
1604194980000,1.5617,1.5617,1.5617,1.5617,0.0
1604195040000,1.5617,1.5617,1.5617,1.5617,0.0
1604195100000,1.5617,1.5617,1.5617,1.5617,0.0
1604195160000,1.5625,1.5625,1.5625,1.5625,24.62
1604195220000,1.5625,1.5625,1.5625,1.5625,0.0
1604195280000,1.5625,1.5625,1.5625,1.5625,0.0
1604195340000,1.5598,1.5632,1.5597,1.5632,602.92
1604195400000,1.5631,1.5632,1.5631,1.5632,86.0
1604195460000,1.5601,1.5629,1.56,1.5627,1370.85
1604195520000,1.5628,1.5628,1.56,1.56,177.4
1604195580000,1.56,1.56,1.56,1.56,0.0
1604195640000,1.56,1.56,1.56,1.56,0.0
1604195700000,1.56,1.56,1.56,1.56,0.0
1604195760000,1.56,1.56,1.56,1.56,0.0
1604195820000,1.56,1.56,1.56,1.56,0.0
1604195880000,1.56,1.56,1.56,1.56,0.0
1604195940000,1.5588,1.563,1.5588,1.563,2012.47
1604196000000,1.5632,1.5652,1.5632,1.5652,686.38
1604196060000,1.5652,1.5652,1.5652,1.5652,0.0
1604196120000,1.5652,1.5652,1.5652,1.5652,0.0
1604196180000,1.5652,1.5652,1.5652,1.5652,0.0
1604196240000,1.5652,1.5652,1.5652,1.5652,0.0
1604196300000,1.5652,1.5652,1.5652,1.5652,0.0
1604196360000,1.5652,1.5652,1.5652,1.5652,0.0
1604196420000,1.5652,1.5652,1.5652,1.5652,0.0
1604196480000,1.5652,1.5652,1.5652,1.5652,0.0
1604196540000,1.5694,1.5694,1.5694,1.5694,32.94
1604196600000,1.5694,1.5694,1.5694,1.5694,0.0
1604196660000,1.5694,1.5694,1.5694,1.5694,0.0
1604196720000,1.5694,1.5694,1.5694,1.5694,0.0
1604196780000,1.5694,1.5694,1.5694,1.5694,0.0
1604196840000,1.5694,1.5694,1.5694,1.5694,0.0
1604196900000,1.5702,1.5714,1.5702,1.5714,127.43
1604196960000,1.5698,1.5702,1.5698,1.57,710.15
1604197020000,1.5681,1.5681,1.5658,1.5658,1431.44
1604197080000,1.5658,1.5658,1.5636,1.5644,1300.0
1604197140000,1.5669,1.567,1.5626,1.5626,593.55
1604197200000,1.566,1.566,1.566,1.566,15.71
1604197260000,1.5626,1.5627,1.5626,1.5627,73.38
1604197320000,1.5623,1.5623,1.559,1.559,264.58
1604197380000,1.5614,1.5614,1.5614,1.5614,175.0
1604197440000,1.5614,1.5618,1.5614,1.5618,510.08
1604197500000,1.5618,1.5623,1.5618,1.5623,587.95
1604197560000,1.5615,1.5615,1.5615,1.5615,267.87
1604197620000,1.5615,1.5617,1.5615,1.5617,311.38
1604197680000,1.5617,1.5617,1.5617,1.5617,10.8
1604197740000,1.5617,1.5617,1.5617,1.5617,0.0
1604197800000,1.56,1.56,1.558,1.558,727.43
1604197860000,1.558,1.558,1.5563,1.5563,109.0
1604197920000,1.5563,1.5563,1.5563,1.5563,0.0
1604197980000,1.5563,1.5563,1.5563,1.5563,0.0
1604198040000,1.5563,1.5563,1.5563,1.5563,0.0
1604198100000,1.5563,1.5563,1.5563,1.5563,0.0
1604198160000,1.5541,1.5541,1.553,1.553,2070.71
1604198220000,1.5547,1.5548,1.5547,1.5548,435.0
1604198280000,1.5548,1.5548,1.5548,1.5548,529.0
1604198340000,1.5548,1.5548,1.5548,1.5548,0.0
1604198400000,1.5542,1.5542,1.5542,1.5542,134.38
1604198460000,1.5547,1.5547,1.5547,1.5547,212.13
1604198520000,1.5521,1.5521,1.5518,1.5518,1035.6
1604198580000,1.5547,1.5548,1.5547,1.5547,200.66
1604198640000,1.5547,1.5547,1.5547,1.5547,78.62
1604198700000,1.5547,1.5547,1.5547,1.5547,48.24
1604198760000,1.5545,1.5556,1.5545,1.5556,763.0
1604198820000,1.5521,1.5521,1.552,1.5521,204.2
1604198880000,1.5521,1.5521,1.5521,1.5521,0.0
1604198940000,1.5521,1.5521,1.5521,1.5521,0.0
1604199000000,1.5521,1.5521,1.5521,1.5521,0.0
1604199060000,1.552,1.552,1.552,1.552,9.98
1604199120000,1.552,1.552,1.552,1.552,0.0
1604199180000,1.552,1.552,1.552,1.552,0.0
1604199240000,1.552,1.552,1.552,1.552,0.0
1604199300000,1.552,1.5528,1.552,1.5528,392.65
1604199360000,1.553,1.553,1.553,1.553,42.0
1604199420000,1.5517,1.5573,1.5517,1.5573,3976.78
1604199480000,1.5559,1.5577,1.5559,1.5563,339.98
1604199540000,1.5558,1.5559,1.5558,1.5558,1803.89
1604199600000,1.5517,1.5517,1.547,1.5511,754.59
1604199660000,1.5495,1.5509,1.5495,1.5501,367.88
1604199720000,1.5501,1.5501,1.5501,1.5501,0.0
1604199780000,1.5497,1.5497,1.5497,1.5497,191.0
1604199840000,1.55,1.5542,1.5498,1.5522,6664.14
1604199900000,1.5482,1.5533,1.5481,1.5499,1394.5
1604199960000,1.5499,1.5499,1.5499,1.5499,0.0
1604200020000,1.5499,1.5499,1.5499,1.5499,0.0
1604200080000,1.5522,1.5523,1.5471,1.5498,2145.07
1604200140000,1.5472,1.5498,1.5469,1.5469,153.35
1604200200000,1.5469,1.5469,1.5466,1.5466,1426.33
1604200260000,1.5466,1.5466,1.5466,1.5466,0.0
1604200320000,1.5466,1.5466,1.5466,1.5466,0.0
1604200380000,1.5483,1.5483,1.5447,1.5448,980.09
1604200440000,1.544,1.5475,1.5439,1.5439,1552.7
1604200500000,1.5442,1.5442,1.5442,1.5442,43.76
1604200560000,1.5441,1.5481,1.5434,1.5481,2137.81
1604200620000,1.5481,1.5481,1.5481,1.5481,0.0
1604200680000,1.5456,1.5471,1.544,1.544,2077.89
1604200740000,1.544,1.544,1.544,1.544,0.0
1604200800000,1.5455,1.5455,1.5426,1.5426,858.71
1604200860000,1.5444,1.5445,1.5419,1.5443,135.19
1604200920000,1.5443,1.5443,1.5443,1.5443,0.0
1604200980000,1.5409,1.543,1.5408,1.543,97.5
1604201040000,1.543,1.543,1.543,1.543,135.72
1604201100000,1.5409,1.5423,1.5408,1.5408,368.17
1604201160000,1.5408,1.5429,1.5408,1.5429,3939.71
1604201220000,1.5429,1.5429,1.5429,1.5429,0.0
1604201280000,1.5427,1.5427,1.5404,1.5427,383.65
1604201340000,1.5427,1.5427,1.5427,1.5427,0.0
1604201400000,1.5419,1.542,1.5419,1.542,201.0
1604201460000,1.542,1.5427,1.54,1.54,4434.9
1604201520000,1.5395,1.5411,1.5385,1.5389,1571.48
1604201580000,1.5395,1.5413,1.5392,1.5392,671.65
1604201640000,1.5408,1.5409,1.5408,1.5409,48.0
1604201700000,1.5411,1.5411,1.54,1.54,3605.6
1604201760000,1.541,1.5411,1.5392,1.5411,1119.81
1604201820000,1.5411,1.5411,1.5411,1.5411,117.63
1604201880000,1.5402,1.5402,1.5402,1.5402,88.8
1604201940000,1.5403,1.5403,1.5399,1.5401,1895.01
1604202000000,1.5401,1.5411,1.5401,1.5401,516.45
1604202060000,1.5401,1.5401,1.5399,1.54,688.01
1604202120000,1.54,1.54,1.54,1.54,0.0
1604202180000,1.54,1.54,1.54,1.54,0.0
1604202240000,1.5393,1.54,1.5393,1.54,204.53
1604202300000,1.5385,1.5385,1.5346,1.5346,154.59
1604202360000,1.5346,1.5349,1.5303,1.5303,1852.11
1604202420000,1.5319,1.5319,1.5319,1.5319,13.04
1604202480000,1.5336,1.5347,1.5325,1.5334,2686.21
1604202540000,1.5329,1.5342,1.5329,1.5342,127.86
1604202600000,1.5346,1.5367,1.5346,1.5355,2083.86
1604202660000,1.5355,1.5388,1.5355,1.5388,77.63
1604202720000,1.54,1.5401,1.5385,1.5401,877.59
1604202780000,1.5389,1.5389,1.5359,1.5359,1218.02
1604202840000,1.5364,1.5364,1.5359,1.5359,1619.37
1604202900000,1.5359,1.5359,1.5359,1.5359,0.0
1604202960000,1.54,1.5401,1.54,1.5401,294.8
1604203020000,1.5401,1.5401,1.5401,1.5401,0.0
1604203080000,1.5368,1.5368,1.5367,1.5367,64.93
1604203140000,1.5367,1.5367,1.5367,1.5367,0.0
1604203200000,1.5367,1.5367,1.5367,1.5367,0.0
1604203260000,1.5359,1.5365,1.5352,1.5365,617.0
1604203320000,1.5365,1.5382,1.5365,1.5382,87.66
1604203380000,1.5382,1.5382,1.5382,1.5382,0.0
1604203440000,1.538,1.538,1.538,1.538,10.48
1604203500000,1.5351,1.5351,1.5342,1.5342,1444.84
1604203560000,1.5342,1.5342,1.5342,1.5342,0.0
1604203620000,1.5342,1.5342,1.5342,1.5342,0.0
1604203680000,1.532,1.533,1.5319,1.5319,818.0
1604203740000,1.5303,1.5303,1.5266,1.5278,3988.74
1604203800000,1.5287,1.5287,1.5287,1.5287,601.88
1604203860000,1.5289,1.5289,1.5278,1.5278,1036.32
1604203920000,1.5278,1.5318,1.5278,1.5284,1372.16
1604203980000,1.5284,1.5284,1.5284,1.5284,1000.67
1604204040000,1.5284,1.5284,1.5284,1.5284,0.0
1604204100000,1.5284,1.5284,1.5284,1.5284,0.0
1604204160000,1.5284,1.5284,1.5278,1.5278,1153.67
1604204220000,1.5269,1.5269,1.5269,1.5269,800.0
1604204280000,1.5269,1.5269,1.5269,1.5269,0.0
1604204340000,1.5269,1.5269,1.5269,1.5269,0.0
1604204400000,1.5269,1.5269,1.5269,1.5269,0.0
1604204460000,1.5269,1.5269,1.5269,1.5269,0.0
1604204520000,1.5288,1.5288,1.5288,1.5288,25.88
1604204580000,1.5299,1.5299,1.5299,1.5299,35.53
1604204640000,1.5289,1.5289,1.5289,1.5289,69.73
1604204700000,1.5298,1.5308,1.5298,1.5308,1247.58
